,times,herf,author,content,share_num,pingllun_num,dianzan_num
0,04月01日 22:53,https://weibo.com/7511569264/MA1lst2Tv?refer_flag=1001030103_,资治通鉴读书中,其实有啥想不通的？ 求/是  早就登过某爷爷语录，直指邪教追星。更不用说现在两会都开完了，某人不仅出土无望，很可能会加速下坠，再见！再也不见！ ​,0,0,0
1,04月01日 22:53,https://weibo.com/6213974274/MA1leCZOV?refer_flag=1001030103_,山西新闻联播,【金湘军在忻州市调研】3月29日至31日，省委副书记、省长金湘军深入忻州市调研经济社会发展工作。他强调，要以习近平新时代中国特色社会主义思想为指导，全面贯彻落实党的二十大和全国两会精神，按照党中央决策部署及省委工作要求，锚定“两个基本实现”奋斗目标，大兴调查研究之风，深化能源革命综合改革，加快特色专业镇建设，用好世界文化遗产亮丽名片，突出创新驱动发展，推动发展方式绿色转型，为中国式现代化山西实践助力添彩。O网页链接收起d,0,0,0
2,04月01日 22:49,https://weibo.com/2733883761/MA1jBdxtb?refer_flag=1001030103_,山西广播电视台,3月29日至31日，省委副书记、省长金湘军深入忻州市调研经济社会发展工作。他强调，要以习近平新时代中国特色社会主义思想为指导，全面贯彻落实党的二十大和全国两会精神，按照党中央决策部署及省委工作要求，锚定“两个基本实现”奋斗目标，大兴调查研究之风，深化能源革命综合改革，加快特色专业镇建设，用好世界文化遗产亮丽名片，突出创新驱动发展，推动发展方式绿色转型，为中国式现代化山西实践助力添彩。O网页链接收起d,0,0,0
3,04月01日 22:46,https://weibo.com/6411326511/MA1iumv8p?refer_flag=1001030103_,福星高照_2003,热烈祝贺。全国两会胜利召开，坚决拥护国家提倡反腐倡廉打虎拍蝇的好政策。可是我四年多上访实名举报沈阳市皇姑区华山派所副所长顾恩後制造的冤假错案什么时候能见到光明，做假笔录，假证人，假病志，赖我儿给当事人下眼眶打骨折了，管我儿要十五万不给钱也不通知家属就把我儿送进看守所，导致皇姑区检察院庞浩不拿钱就公䜣，皇姑法院金军，韩东杰不拿钱就判刑，判了我儿十个月有期徒刑，可在法院卷宗65页当事人根本就没有骨折过的病志，顾恩後等人这不是在赤裸裸的讹诈我儿吗？难道在法律面前人人平等，在皇姑区公.检.法.面前形同放屁吗？在我们拿出假笔录，假病志的证据实名举报至到今天为止没有结果，顾恩後这只苍蝇在皇姑公安分局就没人敢拍吗？难道顾恩後的后台就这么历害吗？2022年3月1号皇姑区公安局两位局长接待了我们，李局长当时表态说尽快给我们一个答复可最后还是不了了之，3月1号我们准备进京上访华山派所王所长带人把我们给扣下不让上访说分局局长和我们谈话给我们解决，事隔一年2023年3月2号华山派所王所长给我们引荐了皇姑区公安局领导，张局长接待我们问我们有什么䜣求。我们提出的䜣求很简单就是把沈阳市公安医院的C丅片子和沈医二院的片子调出来对比一下不就清楚了吗，为什么不给我们提供公安医院拍的原CT片子呢？我们就想看看公安医院的原CT片子就这么难吗？两张片子为什么就不能对比呢？为什么不能从新鉴定呢？还是官官相护呢？我们是不得而知啊，公检法的口号不是刀刃向内倒查二十年吗难道都是假的吗？当事人在公安医院拍了两张CT报告单上盖有沈阳市公安局皇姑分局华山派所公章都是没有病的，我们把盖有公章的两份没有病的报告单和录音光盘提供给华山派所王所长希望王所长能转交给分局张局长，就这么简单的事我们上访四年多没人管，现在我们希望寄托在能为百姓办实事张局长，和华山派所王所长身上，可最后还是不了了知，在沈阳市就没有老百姓说理的地方吗？我们真心希望领导能给我们一个事实真相，还我儿一个清白。2023.3.4日收起d, 6,0,0
4,04月01日 22:41,https://weibo.com/7012062429/MA1go8kgM?refer_flag=1001030103_,长治全媒体,【#聚焦长治两会#新当选的长治市人民政府市长陈向阳进行宪法宣誓】L长治全媒体的微博视频​,0,0,0
5,04月01日 22:40,https://weibo.com/7793076653/MA1g2e3R1?refer_flag=1001030103_,精忠报国实现我国梦,#紧跟伟大复兴领路人#全面贯彻落实党的二十大精神和全国两会精神#保德县张侯俊实业有限责任公司#建议:关于我国部分省市县人民法院釆用网络直播抓“老赖”是“双刃剑”，弊端:使广大中小微民营企业不敢做大做强，实行减员增效;众多高校毕业生、返乡农民工不敢创业，“创业成功是老板，创业失败是老赖”，宁愿“躺平”，对于解就业是不利的！衷心希望:我国各级党委政府人民法院一定要营造优质营商环境，将解就业作为工作重中之重(今年我国将有1158万高校生毕业)，促进我国经济社会高质量发展！开局之年，我们一定要紧跟伟大复兴领路人，谱写强国富民强军梦新篇章！大力支持我党我国我军，我党我国我军必胜，精忠报国献身我国梦！好吗？收起d,0, 3,4
6,04月01日 22:39,https://weibo.com/6673721878/MA1frgKaT?refer_flag=1001030103_,科宇逛新微,北京两会最经典最值钱三句话：1、我很健康2、我能让别人健康3、我正在传播健康的路上“健康中国2030，势在必行”，我们的使命是帮助一亿国人改善亚健康，活到120岁。圆梦大舞台，看懂你就来。 ​,0,0,0
7,04月01日 22:38,https://weibo.com/2782520515/MA1fjzCTh?refer_flag=1001030103_,青海发布,【青海省第二届农牧民歌手大赛圆满落幕】3月31日下午，由中共青海省委宣传部、青海省文化和旅游厅主办的青海省第二届农牧民歌手大赛决赛在青海省海东市互助土族自治县大剧院精彩开唱。活动旨在深入学习宣传贯彻党的二十大精神、全国两会精神和省第十四次党代会精神，有效搭建文艺人才展示才艺、交流技艺、激发创作的平台，不断丰富基层群众的文化活动，促进百姓文艺创作，培养和发现优秀文艺人才，持续推动我省文艺事业繁荣发展。O青海省第二届农牧民歌手大赛圆满落幕收起d, 1, 1,1
8,04月01日 22:32,https://weibo.com/5880495899/MA1cJqir0?refer_flag=1001030103_,沈重残女刘杰,沈阳热烈祝贺。全国两会胜利召开，坚决拥护国家提倡反腐倡廉打虎拍蝇的好政策。可是我四年多上访实名举报沈阳市皇姑区华山派所副所长顾恩後制造的冤假错案什么时候能见到光明，做假笔录，假证人，假病志，赖我儿给当事人下眼眶打骨折了，管我儿要十五万不给钱也不通知家属就把我儿送进看守所，导致皇姑区检察院庞浩不拿钱就公䜣，皇姑法院金军，韩东杰不拿钱就判刑，判了我儿十个月有期徒刑，可在法院卷宗65页当事人根本就没有骨折过的病志，顾恩後等人这不是在赤裸裸的讹诈我儿吗？难道在法律面前人人平等，在皇姑区公.检.法.面前形同放屁吗？在我们拿出假笔录，假病志的证据实名举报至到今天为止没有结果，顾恩後这只苍蝇在皇姑公安分局就没人敢拍吗？难道顾恩後的后台就这么历害吗？2022年3月1号皇姑区公安局两位局长接待了我们，李局长当时表态说尽快给我们一个答复可最后还是不了了之，3月1号我们准备进京上访华山派所王所长带人把我们给扣下不让上访说分局局长和我们谈话给我们解决，事隔一年2023年3月2号华山派所王所长给我们引荐了皇姑区公安局领导，张局长接待我们问我们有什么䜣求。我们提出的䜣求很简单就是把沈阳市公安医院的C丅片子和沈医二院的片子调出来对比一下不就清楚了吗，为什么不给我们提供公安医院拍的原CT片子呢？我们就想看看公安医院的原CT片子就这么难吗？两张片子为什么就不能对比呢？为什么不能从新鉴定呢？还是官官相护呢？我们是不得而知啊，公检法的口号不是刀刃向内倒查二十年吗难道都是假的吗？当事人在公安医院拍了两张CT报告单上盖有沈阳市公安局皇姑分局华山派所公章都是没有病的，我们把盖有公章的两份没有病的报告单和录音光盘提供给华山派所王所长希望王所长能转交给分局张局长，就这么简单的事我们上访四年多没人管，现在我们希望寄托在能为百姓办实事张局长，和华山派所王所长身上，可最后还是不了了知，在沈阳市就没有老百姓说理的地方吗？我们真心希望领导能给我们一个事实真相，还我儿一个清白。2023.3.4日收起d,0,0,1
9,04月01日 22:32,https://weibo.com/5880495899/MA1cAk4rD?refer_flag=1001030103_,沈重残女刘杰,说真话知真相热烈祝贺。全国两会胜利召开，坚决拥护国家提倡反腐倡廉打虎拍蝇的好政策。可是我四年多上访实名举报沈阳市皇姑区华山派所副所长顾恩後制造的冤假错案什么时候能见到光明，做假笔录，假证人，假病志，赖我儿给当事人下眼眶打骨折了，管我儿要十五万不给钱也不通知家属就把我儿送进看守所，导致皇姑区检察院庞浩不拿钱就公䜣，皇姑法院金军，韩东杰不拿钱就判刑，判了我儿十个月有期徒刑，可在法院卷宗65页当事人根本就没有骨折过的病志，顾恩後等人这不是在赤裸裸的讹诈我儿吗？难道在法律面前人人平等，在皇姑区公.检.法.面前形同放屁吗？在我们拿出假笔录，假病志的证据实名举报至到今天为止没有结果，顾恩後这只苍蝇在皇姑公安分局就没人敢拍吗？难道顾恩後的后台就这么历害吗？2022年3月1号皇姑区公安局两位局长接待了我们，李局长当时表态说尽快给我们一个答复可最后还是不了了之，3月1号我们准备进京上访华山派所王所长带人把我们给扣下不让上访说分局局长和我们谈话给我们解决，事隔一年2023年3月2号华山派所王所长给我们引荐了皇姑区公安局领导，张局长接待我们问我们有什么䜣求。我们提出的䜣求很简单就是把沈阳市公安医院的C丅片子和沈医二院的片子调出来对比一下不就清楚了吗，为什么不给我们提供公安医院拍的原CT片子呢？我们就想看看公安医院的原CT片子就这么难吗？两张片子为什么就不能对比呢？为什么不能从新鉴定呢？还是官官相护呢？我们是不得而知啊，公检法的口号不是刀刃向内倒查二十年吗难道都是假的吗？当事人在公安医院拍了两张CT报告单上盖有沈阳市公安局皇姑分局华山派所公章都是没有病的，我们把盖有公章的两份没有病的报告单和录音光盘提供给华山派所王所长希望王所长能转交给分局张局长，就这么简单的事我们上访四年多没人管，现在我们希望寄托在能为百姓办实事张局长，和华山派所王所长身上，可最后还是不了了知，在沈阳市就没有老百姓说理的地方吗？我们真心希望领导能给我们一个事实真相，还我儿一个清白。2023.3.4日收起d,0,0,0
