,times,herf,author,content,share_num,pingllun_num,dianzan_num
0,04月01日 23:00,https://weibo.com/1979696942/MA1nVfizY?refer_flag=1001030103_,湖南工大广播电视台,今日节目【20230401】#喜迎二十大#弘扬二十大精神（编辑：陆家炜 播音：陆家炜）O网页链接#音乐时光#《山海》——草东没有派对（编辑：向阳轩 播音：向阳轩）O网页链接#无主题空间#对话分享（编辑：陈欣彧 播音：陈欣彧）O网页链接​,0,0,2
1,04月01日 22:58,https://weibo.com/5031576509/MA1nnjHyv?refer_flag=1001030103_,蒙城发布,#微播蒙城#【党的二十大精神巡演活动走进小辛集乡】为进一步学习贯彻党的二十大精神，进行爱党爱国爱社会主义教育，3月31日，我县“领航新征程 奋进新时代”学习贯彻党的二十大精神巡回演出（第二站）走进小辛集乡。演出紧紧围绕学习宣传贯彻党的二十大精神这一主题进行节目编排，通过歌曲、舞蹈、戏曲等艺术形式，将党的二十大精神生动地唱出来、演出来，既丰富了群众的精神文化生活、展现了向上向善的精神面貌，又凝聚起了群众同心向党、砥砺奋进的强大精神力量，加深了基层群众对党的二十大精神的理解和感悟。此次文艺巡演以群众喜闻乐见的形式宣传党的二十大精神，在丰富群众精神文化的同时，立足新时代，唱响主旋律，进一步激发了群众的爱党爱国热情。（胡卫国 曹政 李明）收起d,0,0,1
2,04月01日 22:55,https://weibo.com/7476748260/MA1m0eKgG?refer_flag=1001030103_,大公文匯網,【继续宠爱！张国荣纪念骚大咖云集　“哥”迷一齐笑喊唱】#张国荣逝世20周年#《继续宠爱．二十年．音乐会》今晚8点15于红馆上演。O网页链接#二十周年继续宠爱张国荣#今次参与嘉宾众多，有横跨不同年代的歌手和艺人，包括古天乐、吴君如、周迅、莫文蔚、许冠杰、梁朝伟、梁家辉、梅婷、黄磊、刘嘉玲、古巨基、Gin Lee、周慧敏、袁咏仪、张智霖、张卫健、陈松伶、陈洁灵、郑欣宜、钟镇涛、谭耀文等。收起d, 18, 35,211
3,04月01日 22:53,https://weibo.com/6203897445/MA1lj30S8?refer_flag=1001030103_,龙港发布,【全市纪念毛泽东等老一辈革命家为雷锋同志题词60周年研讨座谈会召开】#贯彻二十大辽宁在行动##贯彻二十大 葫芦岛在行动##追寻先烈足迹辽宁在行动##网络中国节·清明#L网信葫芦岛的微博视频​,0,0,0
4,04月01日 22:51,https://weibo.com/7270761810/MA1kEhjqe?refer_flag=1001030103_,直播贵阳官方微博,贯彻二十大 推动“强省会”｜贵安新区召开2023年政金企融资协调座谈会O网页链接​,0,0,0
5,04月01日 22:50,https://weibo.com/6203897445/MA1k9weNV?refer_flag=1001030103_,龙港发布,种植效率提高近10倍，后边外村现在这样春播☞（云盛京）#网红打卡地辽宁杠杠滴#贯彻二十大辽宁在行动##追寻先烈足迹辽宁在行动#L沈阳发布的微博视频​,0,0,0
6,04月01日 22:49,https://weibo.com/2541655084/MA1jv6Nwo?refer_flag=1001030103_,青白江司法,【安全带 安全头盔 守护生命】头盔、安全带可在我们发生事故碰撞时减少70%的死亡率，为减少此类案例的发生，广东各地交警展开“安全带 安全头盔 生命守护”行动。为全面贯彻党的二十大精神，落实《“十四五”全国道路交通安全规则》，加强道路交通事故预防工作重要举措，3月启动月以来全省各地市交通警察支队全方位宣传三年宣教整治行动的必要性，营造整体社会氛围。L广东公安的微博视频收起d,0,0,0
7,04月01日 22:45,https://weibo.com/2419293217/MA1hPzHVi?refer_flag=1001030103_,康平发布,#晚安，康平##振兴新突破 我要当先锋##发现沈阳之美##沈阳英雄城##两邻社区推荐官##美丽乡村推荐官##贯彻二十大辽宁在行动##沈阳都市圈##美好辽宁欢迎您##美味辽宁等您来##网红打卡地辽宁杠杠滴##追寻先烈足迹辽宁在行动##振兴新突破辽宁杠杠滴#​,0,0,0
8,04月01日 22:38,https://weibo.com/5157649774/MA1fnp5k4?refer_flag=1001030103_,阆中公安交警,【安全带 安全头盔 守护生命】头盔、安全带可在我们发生事故碰撞时减少70%的死亡率，为减少此类案例的发生，广东各地交警展开“安全带 安全头盔 生命守护”行动。为全面贯彻党的二十大精神，落实《“十四五”全国道路交通安全规则》，加强道路交通事故预防工作重要举措，3月启动月以来全省各地市交通警察支队全方位宣传三年宣教整治行动的必要性，营造整体社会氛围。@广东公安@广东交警L广东公安的微博视频收起d,0,0,0
9,04月01日 22:38,https://weibo.com/2782520515/MA1fjzCTh?refer_flag=1001030103_,青海发布,【青海省第二届农牧民歌手大赛圆满落幕】3月31日下午，由中共青海省委宣传部、青海省文化和旅游厅主办的青海省第二届农牧民歌手大赛决赛在青海省海东市互助土族自治县大剧院精彩开唱。活动旨在深入学习宣传贯彻党的二十大精神、全国两会精神和省第十四次党代会精神，有效搭建文艺人才展示才艺、交流技艺、激发创作的平台，不断丰富基层群众的文化活动，促进百姓文艺创作，培养和发现优秀文艺人才，持续推动我省文艺事业繁荣发展。O青海省第二届农牧民歌手大赛圆满落幕收起d, 1, 1,1
