,times,herf,author,content,share_num,pingllun_num,dianzan_num
0,04月01日 22:59,https://weibo.com/6336256718/MA1nHDAB3?refer_flag=1001030103_,LINSANITYNEVERDONE,"写什么内容真无所谓，关键看音乐里是什么，想写歌词""深度""根本不难，音乐的丰富才难。周杰伦一直在尝试新的东西，但是市场不接受，也没人能欣赏。《琴伤》里面融合了的是柴可夫斯基《六月船歌》和莫扎特的《士耳其进行曲》，《土耳其冰淇淋》玩的是爵士、电音、中国风的融合，还加了点巴赫风格的钢琴solo，这不叫创新还有什么叫创新？华语乐坛除了他有谁能写出来？然而有人听吗？还不都听《告白气球》去了。所以为什么周杰伦要写《等你下课》呢，因为他很用心写的东西没人听，他都怀疑自己有点自闭了，“你耳机听什么，能不能告诉我？""所以他写胸肌、不哭的时候我只觉得悲哀，为了流行做出了太多妥协，好在 《Mojito》叉来了点当年的感觉，用老狗吧的话来说就是巴味十足，希望巴哥看到这次的好评能找回初心吧，做回当年那个天马行空、吊气十足的Jay。收起d",0,0,0
1,04月01日 22:58,https://weibo.com/6490045001/MA1ncltl6?refer_flag=1001030103_,源艺晶_曜源,他/她/它们让小祖宗曜源再次写清楚，是土家苗族、苗族、印度黄种人，不让小祖宗曜源和婚姻保证录上的大高个子森凯、图坦卡蒙、妈祖林默一起带着土耳其印度王昭君去蒙古国的。川庆渝、湖南、北方的人、南方的人，包括蒙古，都是自己看到的。如果答应让带土耳其印度王昭君去蒙古国，就不会让土家苗族监护人让宜昌自己的亲戚还有别的人来，包括控制者。尼泊尔、印度，这次就是要争军权、军警权、警察权。印度肯定会灭掉佛教的，重新成立或扶持宗教撑军权。收起d,0,0,0
2,04月01日 22:50,https://weibo.com/7741337509/MA1jTkwKr?refer_flag=1001030103_,胖球今天报名了吗,#WTT安塔利亚支线赛##wtt##乒乓球#2023.3.27-4.1 土耳其·安塔利亚站【女单决赛】🇯🇵张本美和 3-2 安藤南🇯🇵恭喜🇯🇵张本美和获得女单冠军🎉🎉🎉冠军：🇯🇵张本美和 🥇亚军：🇯🇵安藤南🥈四强：🇩🇪温特、🇲🇾郑丽贤 ​, 51, 28,305
3,04月01日 22:46,https://weibo.com/3305316822/MA1igdKWh?refer_flag=1001030103_,tiantian_sugar,去土耳其直接让我一天少了3h，回来UK一天又多了2h真好真好真好 ​,0, 4,1
4,04月01日 22:42,https://weibo.com/1046129345/MA1gTobEX?refer_flag=1001030103_,手工真丝地毯李,地毯爱的领带真丝地毯#真丝地毯##土耳其地毯#​,0,0,0
5,04月01日 22:40,https://weibo.com/6499577530/MA1gcBK7p?refer_flag=1001030103_,昵称重复不能使用,哎又去回顾了一下14/15世界杯土耳其站男子1500FA的比赛和颁奖，好青葱好帅的才哥和宇哥…… ​,0, 1,0
6,04月01日 22:33,https://weibo.com/6612632265/MA1de9d5g?refer_flag=1001030103_,寰球敬宇528,#WTT安塔利亚支线赛##wtt##乒乓球#2023.3.27-4.1 土耳其·安塔利亚站，本文来自@胖球今天报名了吗4.1 单打半决赛、双打决赛 赛程安排如下【女单半决赛】16：00（UTC+8）🇯🇵张本美和🆚郑丽贤🇲🇾16：35（UTC+8）🇯🇵安藤南🆚温特🇩🇪【男单半决赛】17：10（UTC+8）🇫🇷Lilian BARDET🆚Adrien RASSENFOSSE🇧🇪17：45（UTC+8）🇦🇹Andreas LEVENKO🆚Amir Hossein HODAEI🇮🇷【女双决赛】21:00（UTC+8）🇯🇵张本美和/安藤南 🆚 李昱谆/黄郁雯（中国台北）【男双决赛】21:35（UTC+8）🇸🇬郭勇/冯耀恩 🆚 Adrien🇧🇪/Mehdi🇩🇿收起d,0,0,0
7,04月01日 22:30,https://weibo.com/2646058397/MA1c96P4t?refer_flag=1001030103_,鱼丸不要粗面11,世界女排新闻资讯#体育##头号博主说##土耳其女排联赛#2022-2023赛季土耳其🇹🇷女排联赛常规赛第二十二轮，加拉塔萨雷3-1萨勒耶尔(25-19 25-22 21-25 25-21)。加拉塔萨雷队:瓦希兰托纳基56扣24中，3失误2被拦，4拦0发，28分埃格莱斯顿25扣11中，2失误1被拦，2拦1发，14分M.波波维奇12扣5中，2失误1被拦，5拦0发，10分伊尔金25扣10中，3失误3被拦，0拦0发，10分阿克约尔8扣5中，0失误0被拦，1拦1发，7分阿里卡娅1扣0中，0失误0被拦，1拦1发，2分阿里奇1扣1中，0失误0被拦，0拦0发，1分苏德2扣1中，0失误0被拦，0拦0发，1分萨勒耶尔队:德雷尼奥克45扣23中，3失误5被拦，1拦1发，25分阿耶查拉蓬29扣13中，1失误2被拦，1拦1发，15分布斯拉17扣7中，1失误0被拦，3拦1发，11分查楚昂37扣7中，5失误5被拦，1拦1发，9分赫卡普坦8扣5中，0失误0被拦，0拦0发，5分塔尼尔3扣0中，0失误1被拦，1拦1发，2分扣球得分:加拉塔萨雷57-55萨勒耶尔拦网得分:加拉塔萨雷13-7萨勒耶尔发球得分:加拉塔萨雷3-5萨勒耶尔一传到位率:加拉塔萨雷56%-48%萨勒耶尔一传完美到位率:加拉塔萨雷31%-27%萨勒耶尔自失送分:加拉塔萨雷20-23萨勒耶尔收起d,0, 8,29
8,04月01日 22:28,https://weibo.com/5306582375/MA1aXfuhM?refer_flag=1001030103_,关于你的烟火,抨击秦制大一统的，先不说欧洲。你们怎么知道没有大一统，这片土地不会分裂成东南亚、中亚或者中东的样子，或者如同印度一样聚集在一起​​​喜欢吗？赶紧去啊越南缅甸老挝泰国，各斯坦国，伊拉克，叙利亚，土耳其，印度等等国家都欢迎你​​​,0,0,0
9,04月01日 22:19,https://weibo.com/7741337509/MA17AEurX?refer_flag=1001030103_,胖球今天报名了吗,#WTT安塔利亚支线赛##wtt##乒乓球#2023.3.27-4.1 土耳其·安塔利亚站【女双决赛】🇯🇵张本美和/安藤南 3-0 李昱谆/黄郁雯（中国台北）恭喜🇯🇵张本美和/安藤南获得女双冠军🎉🎉🎉冠军：🇯🇵张本美和/安藤南🥇亚军：李昱谆/黄郁雯（中国台北）🥈四强：🇩🇪万远/Chantal、黄怡桦/刘馨尹（中华台北）【男双决赛】🇸🇬郭勇/冯耀恩 3-0 Adrien🇧🇪/Mehdi🇩🇿恭喜🇸🇬郭勇/冯耀恩获得男双冠军🎉🎉🎉冠军：🇸🇬郭勇/冯耀恩🥇亚军：🇧🇪Adrien/🇩🇿Mehdi🥈四强：🇲🇾钟子毅/黄祺燊、🇷🇴Eduard/Darius收起d,0, 6,30
