,times,herf,author,content,share_num,pingllun_num,dianzan_num
0,04月01日 20:58,https://weibo.com/1866308977/MA0ADjTcq?refer_flag=1001030103_,醉眼未开开应笑,20230206我可怜的土耳其，一天两次7.8级级地震O网页链接​​​,0,0,0
1,04月01日 20:39,https://weibo.com/2106083604/MA0sRjIJb?refer_flag=1001030103_,地震讯息,【欧洲地中海地震中心】发布，2023-04-01 20:34:37 在 土耳其中部（纬度:36.02°N 经度:35.96°EO网页链接） 发生3.9级地震，震源深度:2.0公里，查看详细O网页链接#AppO网页链接​,0,0,0
2,04月01日 20:31,https://weibo.com/7470428316/MA0pPnGWS?refer_flag=1001030103_,Ufudfhll,#成都锦城学院#说流浪狗怎么来的 道德谴责学生的 有关系吗和这个事 欧洲你去看看 土耳其街头都是流浪狗 地震都会救狗 人人都逗一逗喂一喂 我们的流浪狗就该打死 6 人才是命是吧 ​,0,0,8
3,04月01日 20:30,https://weibo.com/2106083604/MA0pd1eSK?refer_flag=1001030103_,地震讯息,【欧洲地中海地震中心】发布，2023-04-01 20:26:48 在 土耳其东部（纬度:38.29°N 经度:38.25°EO网页链接） 发生3.6级地震，震源深度:5.0公里，查看详细O网页链接#AppO网页链接​,0,0,0
4,04月01日 17:15,https://weibo.com/1852054127/MzZ7Y90Tz?refer_flag=1001030103_,紫光--麦圈真像,土耳其地震将一棵有80年树龄的橄榄树撕成两半，它们相隔约15米L紫光--麦圈真像的微博视频​, 19, 3,66
5,04月01日 17:14,https://weibo.com/6312685199/MzZ7HC9KU?refer_flag=1001030103_,娱影扒哥,《非正式会谈》唐小强确认在土耳其地震中遇难，太多的惋惜无法说出口，一路走好#综艺二创榜##微博VC计划#L娱影扒哥的微博视频​,0,0,2
6,04月01日 17:00,https://weibo.com/1709157165/MzZ1O84eG?refer_flag=1001030103_,联合国,联合国人道协调厅表示，在土耳其和叙利亚北部发生致命大地震近两个月以来，联合国及其合作伙伴持续开展大规模的人道主义行动，但目前仍然急需资金支持。当前阶段仍处于“人道主义紧急情况”，需要关注幸存者的需求以及如何向他们提供支持。在土耳其，超过900万人直接受到地震影响，联合国及其合作伙伴一直在支持由政府主导的应对行动，向约400万人提供了基本生活用品，并向近300万人提供了粮食援助。超过70万人获得了庇护所以及生活空间方面的支持。在叙利亚，约有880万人受到地震影响，联合国及其合作伙伴一直在向受灾群众提供应急住所、食物、水、环境卫生以及个人卫生用品。@联合国粮农组织表示，地震影响了土耳其11个主要农业省份，破坏了20%以上的粮食产量。粮农组织一直在向受灾农民提供现金援助，并帮助他们恢复农场。粮农组织强调，当前迫切需要支持来“防止土耳其出现全国性的粮食获取和供给危机”，并缓解粮食价格的“飙升”。了解更多信息：O网页链接收起d, 6, 18,74
7,04月01日 16:33,https://weibo.com/6070202483/MzYR9nCNm?refer_flag=1001030103_,十八子金名,土耳其地震将这棵有80年历史的橄榄树“劈”成两半，断裂处相隔约15米！#捕捉春光计划##捕捉新知新见#L十八子金名的微博视频​, 15, 5,35
8,04月01日 15:54,https://weibo.com/2106083604/MzYBb8MOX?refer_flag=1001030103_,地震讯息,【欧洲地中海地震中心】发布，2023-04-01 15:43:54 在 土耳其中部（纬度:37.16°N 经度:36.96°EO网页链接） 发生3.5级地震，震源深度:7.0公里，查看详细O网页链接#AppO网页链接​,0,0,0
9,04月01日 15:27,https://weibo.com/2106083604/MzYqduIsy?refer_flag=1001030103_,地震讯息,【欧洲地中海地震中心】发布，2023-04-01 15:23:59 在 土耳其东部（纬度:38.23°N 经度:38.15°EO网页链接） 发生3.7级地震，震源深度:5.0公里，查看详细O网页链接#AppO网页链接​,0,0,0
