,times,herf,author,content,share_num,pingllun_num,dianzan_num
0,04月01日 22:59,https://weibo.com/6056994869/MA1nxCYJw?refer_flag=1001030103_,是谁的可乐呀_,#司藤#张继科的债务以及视频问题，并不简简单单是明星们的“八卦”，而是由此引发了一桩严重的刑事案件。在这桩案件里，景女士是完全的受害人。向她“要钱”的张继科的债主，该人后来也认罪，并且依然在服刑中。而张继科在这桩案件中扮演了什么角色，他自己能否来公开予以回应？ ​,0, 1,5
1,04月01日 22:57,https://weibo.com/6498165369/MA1mLvkI3?refer_flag=1001030103_,溱溱溱溱溱溱溱,微博有些别的平台无法替代的功能大到政府公告，小到分手撕逼明星八卦，新闻热点，都在这儿虽然不停的有热门博主退出又有博主进来有坑蒙拐骗的大v，也有和善为人的大佬看猫猫看狗狗看美女看腹肌最重要的是看人发疯自己发疯真爽（认识我的老铁们请当我是互联网陌生人谢谢）可能在其他平台我还控制一下人设，还想着做个号什么的。微博：撒欢儿跑，跑哪是哪～好了今日份撒欢儿完毕。收起d,0, 1,2
2,04月01日 22:52,https://weibo.com/6424767339/MA1kOk6f6?refer_flag=1001030103_,追豆小王,潜规则不成恼羞成怒，某喜剧大师嘴太损被人记恨  明星八卦  爆料L追豆小王的微博视频​,0,0,0
3,04月01日 22:35,https://weibo.com/6424767339/MA1ea7w1O?refer_flag=1001030103_,追豆小王,顶流花曾跟男演员“YX”恋爱，女方走红后，男演员主动提分手  明星八卦  爆料L追豆小王的微博视频​,0,0,1
4,04月01日 22:33,https://weibo.com/6008829965/MA1d0BQDA?refer_flag=1001030103_,华香璎珞,"佛陀: 佛陀讲述自我与来世, 世间苦难及其解脱之道 | ❤️840次赞📷明星八卦在线磕的优酷视频O网页链接@优酷​",0,0,0
5,04月01日 22:28,https://weibo.com/6632819247/MA1b419bt?refer_flag=1001030103_,戒奶茶吧你,虽然很喜欢明星八卦但是我真的很讨厌身边的八卦不要传到我的耳朵 ​,0,0,0
6,04月01日 22:04,https://weibo.com/6183820721/MA11c5uwv?refer_flag=1001030103_,初恋秀粉日记,#李微敖 张继科#张继科的债务以及视频问题，并不简简单单是明星们的“八卦”，而是由此引发了一桩严重的刑事案件。在这桩案件里，景女士是完全的受害人。向她“要钱”的张继科的债主，该人后来也认罪，并且依然在服刑中。而张继科在这桩案件中扮演了什么角色，他自己能否来公开予以回应？ ​,0,0,0
7,04月01日 21:40,https://weibo.com/3134001347/MA0Rvj4QT?refer_flag=1001030103_,家冨金巳,第一次不想听不想看女明星的八卦，残忍 ​,0,0,0
8,04月01日 21:29,https://weibo.com/6424767339/MA0NabWIo?refer_flag=1001030103_,追豆小王,三字女爱豆背着男友，接连交往四大男星！ 爆料  明星八卦L追豆小王的微博视频​,0,0,0
9,04月01日 21:24,https://weibo.com/3035155012/MA0Lk6cs2?refer_flag=1001030103_,梦境2022,娱乐明星对于我来说，是拿来娱乐调侃八卦嘲笑的，但绝对不是拿来崇拜仰慕的。 ​,0,0,0
10,04月01日 21:12,https://weibo.com/6163768018/MA0G8Bkm4?refer_flag=1001030103_,野生孤独星球,以前看八卦，女明星的金主不是她男友而是用她洗money，因为她没名气刚毕业又听话，结果强捧也没能捧出来。娱乐圈真是各种真真假假的八卦。风水轮流转，口碑随时变，网友随时倒 ​,0,0,0
11,04月01日 21:06,https://weibo.com/6661091093/MA0DKvzPO?refer_flag=1001030103_,酸笋老鸭汤_,两个二十多岁的人在周末的饭馆里像谈心一样谈明星的虚构八卦这种行为还正常吗 ​,0, 2,0
12,04月01日 21:04,https://weibo.com/1862659020/MA0CU0mWH?refer_flag=1001030103_,曼卷诗书喜欲狂,下午一直在刷赌狗的八卦。都大明星了，还是照样为这种人买单。社会新闻多看看也是有好处的 ​,0,0,0
13,04月01日 20:41,https://weibo.com/6411227606/MA0tw9Ltt?refer_flag=1001030103_,翎少女,老师;根本拦不住 爆笑名场面 师生日常 看一遍笑一遍#新浪明星榜##关爱八卦成长协会#L翎少女的微博视频​,0,0,0
14,04月01日 20:39,https://weibo.com/6424767339/MA0sMzVqW?refer_flag=1001030103_,追豆小王,二字一线大花的老公，有特殊癖好！ 明星八卦  爆料L追豆小王的微博视频​,0,0,0
