,times,herf,author,content,share_num,pingllun_num,dianzan_num
0,04月01日 22:48,https://weibo.com/1711163244/MA1jl0Iyh?refer_flag=1001030103_,青华在河北,#电影不能错过的只有你#《不能错过的只有你》今年的第二部“不能错过……”爱情片，不知两部有没有联系？先说优点吧。选题不错！对标剩男剩女和恐婚、逼婚等，瞄准社会热点问题，以喜剧形式展现。片中的过来人说“娶了不玩”总比“玩了不娶要强吧”，博得全场哄堂大笑，多么生活，太精辟了吧！作为其它在成都拍摄的影片，这部片子对成都的旅游元素倒是展现得尤其全面，宽窄巷子、杜甫草堂、成都大熊猫、火锅文化、喝茶、变脸、采耳、按摩……应有尽有，宣传效果不错。再缀几句不足吧。感觉故事是按固定节奏创作的，每个环节比较糙，不够顺畅、精炼，给人硬生生的感觉。水平类似普通电视剧，离院线电影差距太大了，更适合央六。另，杨硕身材还在，可青春不在了。岁数太大了，已经不适合这类角色了。典型的小成本，制片方可能想以小博大，但是看完片子预测很难实现。喜欢长腿欧巴和绝美小姐姐的朋友们可以来刷刷哦！收起d,0,0,0
1,04月01日 22:23,https://weibo.com/7549609569/MA191xMCi?refer_flag=1001030103_,云佴在线,#微博辟谣#无关社会热点词条内，刷量发布引战内容，使用黑称侮辱网暴他人，造谣诽谤群体及未成年，煽动网友网暴无辜艺人及粉丝群体，行为恶劣，辛苦处理！ . ​,0,0,0
2,04月01日 21:18,https://weibo.com/3653703037/MA0IPi3hr?refer_flag=1001030103_,北票666,@快手热点，感恩遇见快手平台，感谢官方的每一次推广谢谢官方辛苦了，在快手带你看世界社会热点奇闻趣事，理性观看友善交友，不传谣不信谣，中俄友谊天长地久，团结合作共同发展，维护世界和平发展，期待俄乌两国早日结束战争和平谈判，我们一起绿色快手正能量平台O网页链接​,0,0,0
3,04月01日 21:18,https://weibo.com/3653703037/MA0IJ0ktI?refer_flag=1001030103_,北票666,@快手热点，感恩遇见快手平台，感谢官方的每一次推广谢谢官方辛苦了，在快手带你看世界社会热点奇闻趣事，理性观看友善交友，不传谣不信谣，中俄友谊天长地久，团结合作共同发展，维护世界和平发展，期待俄乌两国早日结束战争和平谈判，我们一起绿色快手正能量平台O网页链接​,0,0,0
4,04月01日 20:52,https://weibo.com/5092881464/MA0ybrWMs?refer_flag=1001030103_,李小安0626,#关注社会热点事件#敢进这村的，是没打算出来。L李小安0626的微博视频​,0,0,2
5,04月01日 20:31,https://weibo.com/7739681978/MA0pPauw7?refer_flag=1001030103_,羊崽最爱小狗,老妈：诺宝~我：巴拉巴拉（好玩的事情，有趣的发现社会热点等）（老妈的）一句话  让我说了一个多小时哈哈哈哈哈其实还想跟老妈聊会的可是老妈说她要洗漱睡觉😪让我不要耽误她呜呜呜呜呜呜呜好叭~ ​,0,0,0
6,04月01日 20:16,https://weibo.com/3209718350/MA0jwrw9b?refer_flag=1001030103_,评城风雨,#个别地方安检形同虚设#这玩意带上地铁非常容易，至于为什么，你们自己想#上海地铁内男子嬉皮笑脸耍刀玩#个别地方的安检，除了重大日子，其实就是形同虚设。社会热点L评城风雨的微博视频​, 1, 2,7
7,04月01日 19:51,https://weibo.com/3209718350/MA09gAPSS?refer_flag=1001030103_,评城风雨,#成龙不仅是功夫明星#说起成龙，那是无人不知，无人不晓，他不仅仅是一位功夫巨星，人品更是让人敬佩。在接待会上，成龙跪地给大爷签名，可见他做人的谦逊，和对他人的尊敬。就不知道大爷要这么多签名会不会拿去卖#成龙说现在没有真正的功夫明星了#成龙在近些年的影片，大多是爱国题材，也展现出了他对祖国深沉的热爱。所以大家对成龙的印象不仅仅是热爱更是钦佩。社会热点L评城风雨的微博视频收起d,0,0,4
8,04月01日 19:41,https://weibo.com/2671142311/MA05lCIyQ?refer_flag=1001030103_,初登场debut,时代镜像、逻辑图景、人性褶皱：评《狂飙》一、文章节选自选择《当代电视》2023.3，作者黄博阳，完整版本，请私。二、电视剧《狂飙》以力透纸背的现实创作直击社会热点；以三重叙事搭建故事情节，架构黑白对立的影像世界；以复杂而立体、特色鲜明又引人共鸣的人物群像，深入挖掘犯罪背后的成因，探究错综复杂的人生际遇和人性变化。该剧深刻反映了我国开展扫黑除恶工作的阶段性变化，映射20年来社会的巨大变迁，为反腐题材电视剧的发展提供了诸多借鉴。#戏剧影视学考研[话题]##广播电视考研[话题]##狂飙[话题]##当代电视[话题]##热播电视剧[话题]##广播电视考研[话题]#收起d,0,0,0
9,04月01日 18:51,https://weibo.com/2745442130/MzZL1F6hu?refer_flag=1001030103_,手机用户2745442130,社会热点好好的一个人，就因为要去厦门市莲花医院总院戒酒，不到半天时间就被厦门市莲花医院总院的医护人员和保安人员人为重击葬送了一个人的人生！再说，最让人无法接受和理解的是厦门市莲花医院总院却关系网重重，勾结原名为（福建天泽鉴定所），做出违法违心的责任认定，做出错误认定后，福建天泽鉴定所就改名为（福建南天有限公司鉴定所）。我唯一的一个儿子是举家4代人的精神支柱和经济生活依靠。就因为厦门市莲花医院的暴行，让我一家人沉浸在极端的困境之中，为此我又求告无门！发此微博，希望能得到全社会的同情与关注。谢谢大家浏览！革命后代的一家后代确有冤无诉处。收起d,0,0,0
