,times,herf,author,content,share_num,pingllun_num,dianzan_num
0,04月01日 22:57,https://weibo.com/5899743142/MA1n2iHdQ?refer_flag=1001030103_,杨光下有baby的颖子,#人间许愿星张大大#张大大大大老师俺最近工作状态不太好，在公司刚调了岗，工作氛围不太适应整个人很down每天上班像上坟很想裸辞去旅游散散心啊啊啊从小到大没出过远门，好想去四川旅游用美食治愈心情，还想去看咱们的女明星熊猫花花大大老师康康我叭@BIGBIG张大大@BIGBIG张大大收起d,0, 7,1
1,04月01日 22:57,https://weibo.com/6818232709/MA1mVy84J?refer_flag=1001030103_,7syupup,#当代大学生的周末旅游#🌃长春-打卡这有山-上苍保佑吃饱饭的人民-桂林路的每一家都要排队 想吃美食的欲望随走随消失了-可爱龙猫 ​,0,0,13
2,04月01日 22:55,https://weibo.com/5945768920/MA1mddK5Y?refer_flag=1001030103_,密云吃喝玩乐,哈尔滨出租师傅给了一些美食的建议，当地的朋友们觉得这些地方还行吗？要是可以我们开始打卡了！#哈尔滨美食 #哈尔滨旅游攻略#李队攻略#哈尔滨美食#2哈尔滨·中央大街步行街L密云吃喝玩乐的微博视频​, 1,0,6
3,04月01日 22:46,https://weibo.com/1155134400/MA1iofLI0?refer_flag=1001030103_,芒咕妹,干啥啥不行，吃饭第一名。没有任何不吃的东西，出去旅游手机永远是打开搜寻美食排行榜的页面，自己想记录一下这些年我在北京吃过的好吃吃，我的世界里没有美食荒漠地区，哪里都好吃，什么都好吃，吃啥都很多！喜欢中餐，口味偏重#芒果唠##北京美食#​, 17, 8,59
4,04月01日 22:45,https://weibo.com/7439993961/MA1hTaSGC?refer_flag=1001030103_,其实我叫斯惠子,老板娘累的天天哭！面条有多好吃，以至于店家动起来了，还吸引了大爷大妈们跟着吃！#北京美食##同城种草#北京旅游​O网页链接​,0, 1,0
5,04月01日 22:40,https://weibo.com/6972192832/MA1fO0V3t?refer_flag=1001030103_,芭堤雅乔木提恩海滩德瓦里酒店,"最好的时刻是快乐的时刻🍸🍹🍷🥂.@芭堤雅乔木提恩海滩德瓦里酒店(D Varee Jomtien Beach, Pattaya)在38楼的德瓦里 灵感酒吧 (D.I.B)享用鸡尾酒官网:O网页链接@GoHotelsGo住我处全球酒店专页@泰国国家旅游局北京办事处@微博美食#美食新势力大赛##曼谷芭堤雅##泰国旅行##深夜食堂##不可辜负的美食#收起d",0,0,0
6,04月01日 22:38,https://weibo.com/3591317421/MA1f8DCau?refer_flag=1001030103_,今天吃啥,来江浙沪旅游，你怎能不吃全蟹宴呢！！#美食新势力大赛#L今天吃啥的微博视频​, 3, 2,13
7,04月01日 22:37,https://weibo.com/6918539157/MA1eTl851?refer_flag=1001030103_,只想吃芋头_,以前对自己是西安人这件事没什么感觉 总在dy刷外地人来西安的视频说特别好玩 我一直都不知道那些有什么好玩的 但就这两天 我看盛唐密盒 突然就觉得西安好有意思啊 我要是来旅游 肯定也会去看的 也一定会把汉服当成日常的衣服出门 拍美美的照片 西安美食也很多 我以前总觉得平平无奇 但是旅游多了 就感觉能比西安好吃的地方也没太多 而且西安的交通也很方便 只要你不去旮旯拐角 地铁都能到 我现在觉得 我是西安人真的太好了收起d, 1, 58,95
8,04月01日 22:31,https://weibo.com/5243696549/MA1cr7ec8?refer_flag=1001030103_,LAranya_,#一条plog告别三月#昨天没来得及发 今天补一下照片好多根本不够发 三月的快乐太多了～旅游 蹦迪 撸小猫小狗 和朋友一起逛街 还吃了好多美食（吃的下次一起发嘿嘿）快乐就是这么简单 希望四月会是更快乐的一个月🥰 ​,0,0,6
9,04月01日 22:31,https://weibo.com/1426621143/MA1cf2zDn?refer_flag=1001030103_,清风论电-孙哲,凭高铁票免费换红叶柿岩首道大门票淄博晚报讯 （全媒体记者许珊珊 通讯员聂坤）为响应政府号召，深入践行文旅惠民，让来淄游客沉浸式感受淄博的美食美景，山东文旅·红叶柿岩旅游区推出“高铁票免费换门票”惠民游活动，首轮发行50000张，游客凭本人高铁票＋身份证可免红叶柿岩首道大门票。据了解，4月1日—28日，游客可于发车时间三日内持本人高铁票＋身份证至红叶柿岩游客中心检票口，经检票后免费入园（每人限使用一次）。景区门票可畅游颜神里、古村郁金香、玻璃吊桥等13个景点，尽情玩转柿岩好春光！4月起，红叶柿岩将重磅推出系列特惠活动，持续进行项目升级打造。700年柿岩古村将重磅升级为“北方小丽江”，核心项目2020米玻璃水滑道即将打造成为“全国首个高空音乐漂流”。“露营生活节”、“烧烤轰趴”、“音乐会”等多彩活动即将上线，为广大游客带来艺术与色彩、传统与创新完美融合的沉浸式体验。一切春日精彩整装待发，敬请期待！快点乘坐高铁来淄博品美食、赏美景吧！红叶柿岩将向全国游客推出“高铁票抵门票”公益惠民政策，以“市场决定生存，服务改变命运”为宗旨，蓄力实现惠民工程、回馈游客的支持与厚爱，助力淄博文旅产业高质量发展。淄博2淄博收起d,0, 2,0
10,04月01日 22:29,https://weibo.com/7792826499/MA1bGqTTB?refer_flag=1001030103_,戏晶晶晶晶晶,出来一起玩的一个朋友说：“旅游不仅仅是为了看风景、吃美食，更重要的是培养发现美、留住美、展现美和分享美的能力。”深以为然，继续努力提高自己。#旅游风景#ps:这是我自己拍的照片。2泰州·李中水上森林公园​, 1, 4,9
11,04月01日 22:27,https://weibo.com/6504862831/MA1aNtdma?refer_flag=1001030103_,羊崽羔,等有时间我真的会把东北大理还有长沙的plog给p完（给自己画饼）照片实在太多了 ​​​#羊崽羔就三地旅游玩乐美食作重要讲话#​,0,0,1
12,04月01日 22:25,https://weibo.com/2435975740/MA19YBt3g?refer_flag=1001030103_,Qfmfq,刷了个TVB旧剧，其中有一个小联动。前几天听梁文道做客播客说自己喜欢看关于香港的旅游指南，会发现许多作为本地人也没注意到过的景点或美食。而剧中桥段之一是两家餐厅PK厨艺，正是为了竞争在“香港旅游指南”上榜（虽然肯定也不是同一个指南）。 ​,0,0,2
13,04月01日 22:25,https://weibo.com/2820766293/MA19VqWbj?refer_flag=1001030103_,不玩手机干啥,#低欲望生活 低预算生活#我的经济能力不允许我有高预算。可是我想旅游。我想美食。我想……算了还是过低欲望的生活吧L不玩手机干啥的微博视频​, 48, 18,187
14,04月01日 22:20,https://weibo.com/5492416329/MA17Vinfu?refer_flag=1001030103_,澳门特区政府旅游局,【澳门竟然有意大利版担担面哦】一道独具创意的意大利手工螺旋面，将四川担担面的灵魂注入其中，勾起了食客的好奇心。#澳门双行线#打卡团成员张天爱进入后厨，尝试制作螺旋状意面，主厨直呼“比我做的还好”。戳视频，揭露主厨的独家秘方#张天爱在澳门学做意大利版担担面##澳门美食##澳门旅行##澳门旅游##澳门##艺游春日#L澳门特区政府旅游局的微博视频收起d, 2,0,11
15,04月01日 22:14,https://weibo.com/5710242575/MA15tqrQh?refer_flag=1001030103_,娱乐星星眼,#孔连顺新片云路演记录#电影《了不起的夜晚》路演活动好精彩！豆的扮演者孔连顺@孔连顺的路演记录感觉好有意思，去到了青岛、郑州、苏州...几个城市，分享了当地的美食，打卡了各种景点，内容好丰富，感觉在云旅游呢！好期待孔连顺以后的更多作品！ ​,0,0,0
16,04月01日 22:13,https://weibo.com/6654212312/MA14TCSIl?refer_flag=1001030103_,她生不哭枫,泪点低，哭了很多次，现在眼睛还在疼但是电影一般，中间开始蛮无聊的，结局想到了，但是拍出来的效果还是让我抠脚趾头…那一堆小山似的报纸足够了。我顶多给三星吧开始还行，包括美食等生活气息的戏份让我有去重庆旅游的冲动！哈哈哈八筒很好～还有！教授诈糊那次，我果然不懂重庆麻将！！收起d,0,0,0
17,04月01日 22:08,https://weibo.com/6876402085/MA136jq5v?refer_flag=1001030103_,清迈阿凯拉马诺尔酒店,虽然我们忠于完美经典披萨，但@清迈阿凯拉马诺尔酒店akyra Manor Chiang Mai 的厨师生产#清迈#最具创新精神的披萨。手工、燃木、美味的#意大利特色#披萨# ！@GoHotelsGo住我处全球酒店专页@泰国国家旅游局@带着微博去旅行#美食新势力大赛##泰国清迈##泰国旅游##好吃好吃真好吃# ​,0, 1,0
18,04月01日 22:08,https://weibo.com/3659877310/MA132rMfq?refer_flag=1001030103_,侯猴会飞,不管打开哪个社交软件，大家都在现场追星、看演唱会、玩儿、旅游、吃美食、享受周末，就只有我周内得去植树，周末两天得去上班，关键我手头好像没什么活儿，为什么如此的🐶#plog##享受周末#​,0, 12,1
19,04月01日 22:06,https://weibo.com/1111213285/MA126tstw?refer_flag=1001030103_,分享生活中的点滴快乐,推荐上海良性美食餐厅！魔都美食纷繁，阳春白雪下里巴人，天南地北东西风味，选择众多。但来上海就吃上海味！推荐1家上海地道餐厅：味道正宗！江浙沪经典菜！老字号！位置方便，在市中心的中心，人民广场，人民公园边！关键是价格还公道，好吃不贵！杏花楼 黄河路 总店。来上海一定要去浦兴看看，南京路外滩人民广场必到！到了人民广场，就可以一步来到 杏花楼！“洒洒阳光”就是民宿中的杏花楼，追求性价比的民宿，中环边，双地铁，宽敞明亮通透环保！#上海人民广场##迪士尼##外滩##上海##五一##上海旅游##酒店#收起d,0,0,0
20,04月01日 22:05,https://weibo.com/1768263805/MA11XAoan?refer_flag=1001030103_,Teaandtrees,出差公费旅游匆忙感受下北京的美景美食 ​​​,0,0,0
21,04月01日 22:05,https://weibo.com/5142021908/MA11ErmVd?refer_flag=1001030103_,自夏影视推荐,熊猫堂 的微综 熊猫出没请注意 终于上线啦！真的是下饭综艺，美食、旅游、搞笑三合一，笑不活了家人们L自夏影视推荐的微博视频​,0,0,1
